properties.nombre,properties.libres,timestamp
Illumbe,0,2022-01-24 23:18:58.686402
Katalunia,361,2022-01-24 23:18:58.686402
Kontxa,556,2022-01-24 23:18:58.686402
Kursaal,182,2022-01-24 23:18:58.686402
Okendo,560,2022-01-24 23:18:58.686402
Ondarreta,0,2022-01-24 23:18:58.686402
Pio XII,492,2022-01-24 23:18:58.686402
San Martin,256,2022-01-24 23:18:58.686402
Txofre,10,2022-01-24 23:18:58.686402
Zuatzu,0,2022-01-24 23:18:58.686402
Arcco,0,2022-01-25 01:13:13.166620
Atotxa,182,2022-01-25 01:13:13.166620
Boulevard,338,2022-01-25 01:13:13.166620
Buen Pastor,332,2022-01-25 01:13:13.166620
Easo,156,2022-01-25 01:13:13.166620
Estación,326,2022-01-25 01:13:13.166620
Illumbe,0,2022-01-25 01:13:13.166620
Katalunia,363,2022-01-25 01:13:13.166620
Kontxa,560,2022-01-25 01:13:13.166620
Kursaal,183,2022-01-25 01:13:13.166620
Okendo,561,2022-01-25 01:13:13.166620
Ondarreta,0,2022-01-25 01:13:13.166620
Pio XII,491,2022-01-25 01:13:13.166620
San Martin,256,2022-01-25 01:13:13.166620
Txofre,10,2022-01-25 01:13:13.166620
Zuatzu,0,2022-01-25 01:13:13.166620
Arcco,0,2022-01-25 02:35:34.534941
Atotxa,182,2022-01-25 02:35:34.534941
Boulevard,338,2022-01-25 02:35:34.534941
Buen Pastor,333,2022-01-25 02:35:34.534941
Easo,156,2022-01-25 02:35:34.534941
Estación,326,2022-01-25 02:35:34.534941
Illumbe,0,2022-01-25 02:35:34.534941
Katalunia,364,2022-01-25 02:35:34.534941
Kontxa,562,2022-01-25 02:35:34.534941
Kursaal,183,2022-01-25 02:35:34.534941
Okendo,561,2022-01-25 02:35:34.534941
Ondarreta,0,2022-01-25 02:35:34.534941
Pio XII,491,2022-01-25 02:35:34.534941
San Martin,257,2022-01-25 02:35:34.534941
Txofre,10,2022-01-25 02:35:34.534941
Zuatzu,0,2022-01-25 02:35:34.534941
Arcco,0,2022-01-25 03:20:12.167539
Atotxa,182,2022-01-25 03:20:12.167539
Boulevard,340,2022-01-25 03:20:12.167539
Buen Pastor,333,2022-01-25 03:20:12.167539
Easo,156,2022-01-25 03:20:12.167539
Estación,326,2022-01-25 03:20:12.167539
Illumbe,0,2022-01-25 03:20:12.167539
Katalunia,364,2022-01-25 03:20:12.167539
Kontxa,562,2022-01-25 03:20:12.167539
Kursaal,183,2022-01-25 03:20:12.167539
Okendo,561,2022-01-25 03:20:12.167539
Ondarreta,0,2022-01-25 03:20:12.167539
Pio XII,491,2022-01-25 03:20:12.167539
San Martin,258,2022-01-25 03:20:12.167539
Txofre,10,2022-01-25 03:20:12.167539
Zuatzu,0,2022-01-25 03:20:12.167539
Arcco,0,2022-01-25 04:25:34.829168
Atotxa,182,2022-01-25 04:25:34.829168
Boulevard,340,2022-01-25 04:25:34.829168
Buen Pastor,332,2022-01-25 04:25:34.829168
Easo,157,2022-01-25 04:25:34.829168
Estación,324,2022-01-25 04:25:34.829168
Illumbe,0,2022-01-25 04:25:34.829168
Katalunia,364,2022-01-25 04:25:34.829168
Kontxa,562,2022-01-25 04:25:34.829168
Kursaal,183,2022-01-25 04:25:34.829168
Okendo,561,2022-01-25 04:25:34.829168
Ondarreta,0,2022-01-25 04:25:34.829168
Pio XII,491,2022-01-25 04:25:34.829168
San Martin,258,2022-01-25 04:25:34.829168
Txofre,10,2022-01-25 04:25:34.829168
Zuatzu,0,2022-01-25 04:25:34.829168
Arcco,0,2022-01-25 05:17:10.085039
Atotxa,181,2022-01-25 05:17:10.085039
Boulevard,338,2022-01-25 05:17:10.085039
Buen Pastor,332,2022-01-25 05:17:10.085039
Easo,157,2022-01-25 05:17:10.085039
Estación,321,2022-01-25 05:17:10.085039
Illumbe,0,2022-01-25 05:17:10.085039
Katalunia,365,2022-01-25 05:17:10.085039
Kontxa,564,2022-01-25 05:17:10.085039
Kursaal,183,2022-01-25 05:17:10.085039
Okendo,563,2022-01-25 05:17:10.085039
Ondarreta,0,2022-01-25 05:17:10.085039
Pio XII,491,2022-01-25 05:17:10.085039
San Martin,256,2022-01-25 05:17:10.085039
Txofre,10,2022-01-25 05:17:10.085039
Zuatzu,0,2022-01-25 05:17:10.085039
Arcco,0,2022-01-25 06:23:19.926505
Atotxa,180,2022-01-25 06:23:19.926505
Boulevard,336,2022-01-25 06:23:19.926505
Buen Pastor,331,2022-01-25 06:23:19.926505
Easo,160,2022-01-25 06:23:19.926505
Estación,315,2022-01-25 06:23:19.926505
Illumbe,0,2022-01-25 06:23:19.926505
Katalunia,367,2022-01-25 06:23:19.926505
Kontxa,564,2022-01-25 06:23:19.926505
Kursaal,182,2022-01-25 06:23:19.926505
